name,subjective_score,confidence_95_to_original
230090,3.5958425865478105,0.1002768947115975
230089,3.45275199183467,0.09944393711204051
230088,3.443616517976187,0.09939929722488561
230087,3.42782593585722,0.09932451712997008
230086,3.335548274972779,0.09894726752258745
230085,3.2715483749371583,0.09874489182582874
230104,3.2435436600561514,0.09867146160038566
230103,3.1894287777219716,0.09855551874842546
230082,3.1389748578496213,0.09847813663345167
230102,3.088557671190826,0.09843037328802187
230080,3.023840320154273,0.09841240707131635
230079,2.9631248023727945,0.09844000263377607
230078,2.9314889936428994,0.09847152075990712
230077,2.928501016195832,0.09847510698800782
230101,2.8877666134113094,0.09853452763253433
230100,2.85890499335376,0.09858855448945933
Original,2.429182838417973,0.0
230074,0.0,0.17786859296126228
