name,subjective_score,confidence_95_to_original
242892,2.2090909620704906,0.10364407192613018
242922,2.024555848651111,0.10229708101687948
242887,1.8128138229978719,0.10117032047207104
242891,1.796926432125384,0.10110268877710012
242894,1.7642854793775302,0.1009708913304353
242899,1.642002802433551,0.10056110334044695
242839,1.6199161452062516,0.1005009789055334
242888,1.5668574215426232,0.10037363506698392
242864,1.5463782018728207,0.10033089972020784
242875,1.5359088251222925,0.10031042626093097
242866,1.5074784895956812,0.10025950415467234
242907,1.4551331204664717,0.10018355498811778
242838,1.4381902146395513,0.10016390077317908
242844,1.3328906716579765,0.10009564159858762
242827,1.3043649559928427,0.10009313367895889
242898,1.2566970324116542,0.10010419608851855
242829,1.2425976147385693,0.10011113650219823
242843,1.1814856533639653,0.10016068774495679
242841,1.0943292501430686,0.10028665504182552
242909,0.5610310431118666,0.10259348796602986
Original,0.0,0.0
